,159
A,"Laptop Dell Inspiron N5310 i3 1125G4/8GB/256GB/13.3""FHD/Intel UHD Graphics/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n5310-i3-1125g4-win-10-htm
C,19.299.000
D,2 máy
E,
F,
G,
H,Intel
I,Core i3
J,1125G4
K,2.00 GHz
L,
M,
N,
O,
P,
Q,8 GB
R,LPDDR4
S,
T,
U,
V,
W,
X,13.3 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,4 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
